"samplingpoint","year","qualitycode"
"03600",2014,"I"
"03700",2014,"G"
"03800",2014,"G"
"03900",2014,"G"
"04000",2014,"G"
"04200",2014,"G"
"04250",2014,"G"
"04280",2014,"G"
"04300",2014,"G"
"04400",2014,"G"
"04500",2014,"G"
"04600",2014,"G"
"04700",2014,"I"
"04800",2014,"G"
"04900",2014,"G"
"05000",2014,"G"
"05100",2014,"G"
"05200",2014,"G"
"05300",2014,"G"
"05400",2014,"G"
"05500",2014,"G"
"05600",2014,"G"
"05700",2014,"G"
"05800",2014,"G"
"05900",2014,"G"
"06000",2014,"G"
"06100",2014,"G"
"06200",2014,"G"
"06300",2014,"G"
"06400",2014,"G"
"06500",2014,"I"
"06600",2014,"G"
"06650",2014,"G"
"06700",2014,"G"
"06800",2014,"F"
"06900",2014,"G"
"07000",2014,"G"
"07100",2014,"G"
"07200",2014,"G"
"07300",2014,"G"
"07400",2014,"I"
"07500",2014,"G"
"07600",2014,"I"
"07700",2014,"I"
"07900",2014,"G"
"07950",2014,"G"
"08000",2014,"G"
"08100",2014,"G"
"08200",2014,"I"
"08300",2014,"I"
"08600",2014,"G"
"08700",2014,"G"
"08800",2014,"G"
"08900",2014,"G"
"09000",2014,"I"
"09020",2014,"G"
"09100",2014,"G"
"09200",2014,"G"
"09300",2014,"G"
"09400",2014,"G"
"09500",2014,"I"
"09600",2014,"G"
"09700",2014,"G"
"09750",2014,"I"
"09800",2014,"G"
"09850",2014,"G"
"09900",2014,"G"
"10000",2014,"G"
"10100",2014,"G"
"10150",2014,"G"
"10200",2014,"G"
"10300",2014,"G"
"10310",2014,"G"
"10325",2014,"G"
"10350",2014,"G"
"10400",2014,"G"
"10500",2014,"G"
"10600",2014,"G"
"10650",2014,"G"
"10750",2014,"I"
"10800",2014,"G"
"10830",2014,"G"
"10850",2014,"G"
"10900",2014,"G"
"11000",2014,"G"
"11100",2014,"G"
"11250",2014,"G"
"11300",2014,"G"
"11350",2014,"G"
"11500",2014,"G"
"11550",2014,"I"
"11600",2014,"G"
"11650",2014,"G"
"11700",2014,"G"
"11750",2014,"G"
"11760",2014,"I"
"11770",2014,"G"
"11780",2014,"G"
