EA_Region,SamplingPoint,Name,Map_Category,Easting,Northing,Permit_No,Permit_Ver,Feature_Name,Outlet_no,LAT,LONG,Feature_ID,EUBWID,Feature_Version
WA,36100,Jackson's Bay Barry Island,Treated Sewage Works Outfall,312077,166303,AN0316901,1.00,FORMER BUTLINS HOLIDAY CAMP  FRI,1,51.3889000000000,-3.26500000000000,FE-AN0316901-1-1,UKL2202      36100,1
WA,36600,Sandy Bay Porthcawl,Emergency or Storm Overflow,281950,176550,BW3200501,1.00,SWO.E.PROMENADE P'CAWL,1,51.4755000000000,-3.70120000000000,ID-BW3200501-1.00-1,UKL1701      36600,1
WA,36900,Swansea Bay,Emergency or Storm Overflow,263350,191700,BW4107001,2.00,SWO (CSO) SINGLETON PARK PT 25 N,1,51.6075000000000,-3.97480000000000,ID-BW4107001-2.00-1,UKL1800      36900,1
WA,36900,Swansea Bay,Emergency or Storm Overflow,263420,191860,BC0011501,2.00,SSO (CSO) BRYNMILL,1,51.6089000000000,-3.97380000000000,ID-BC0011501-2.00-1,UKL1800      36900,1
WA,36900,Swansea Bay,Emergency or Storm Overflow,264170,192040,BP0237411,1.00,OUTFALL K  (CSO 264) JUN OF MUMB,1,51.6107000000000,-3.96310000000000,ID-BP0237411-1.00-1,UKL1800      36900,1
WA,36900,Swansea Bay,Emergency or Storm Overflow,265020,192060,BP0237412,1.00,SWO. (CSO) NEAR H.M. PRISON (POI,1,51.6111000000000,-3.95080000000000,ID-BP0237412-1.00-1,UKL1800      36900,1
WA,36900,Swansea Bay,Emergency or Storm Overflow,265375,192296,BP0245301,1.00,SWANSEA (OXFORD ST/UNION ST) PT,1,51.6133000000000,-3.94580000000000,ID-BP0245301-1.00-1,UKL1800      36900,1
WA,37100,Limeslade Bay,Emergency or Storm Overflow,262508,187168,BW4100901,2.00,LIMESLADE PUMPING STATION  SWANS,1,51.5665000000000,-3.98520000000000,ID-BW4100901-2.00-1,UKL1800      37100,1
WA,37200,Langland Bay,Emergency or Storm Overflow,260589,187127,BP0305901,1.00,LANGLAND SPS  LANGLAND  SWANSEA,1,51.5657000000000,-4.01280000000000,ID-BP0305901-1.00-1,UKL1800      37200,1
WA,37300,Caswell Bay,Emergency or Storm Overflow,258990,187500,BC0019501,2.00,PS AT REDCLIFFE APARTMENTS CASWE,1,51.5686000000000,-4.03600000000000,ID-BC0019501-2.00-1,UKL1800      37300,1
