"samplingpoint","year","qualitycode"
"03600",2013,"G"
"03700",2013,"G"
"03800",2013,"G"
"03900",2013,"G"
"04000",2013,"G"
"04200",2013,"G"
"04250",2013,"G"
"04280",2013,"G"
"04300",2013,"G"
"04400",2013,"G"
"04500",2013,"G"
"04600",2013,"G"
"04700",2013,"G"
"04800",2013,"G"
"04900",2013,"G"
"05000",2013,"G"
"05100",2013,"G"
"05200",2013,"G"
"05300",2013,"G"
"05400",2013,"I"
"05500",2013,"G"
"05600",2013,"G"
"05700",2013,"I"
"05800",2013,"I"
"05900",2013,"G"
"06000",2013,"I"
"06100",2013,"G"
"06200",2013,"G"
"06300",2013,"G"
"06400",2013,"G"
"06500",2013,"G"
"06600",2013,"G"
"06650",2013,"G"
"06700",2013,"G"
"06800",2013,"I"
"06900",2013,"I"
"07000",2013,"G"
"07100",2013,"G"
"07200",2013,"G"
"07300",2013,"G"
"07400",2013,"G"
"07500",2013,"G"
"07600",2013,"G"
"07700",2013,"I"
"07900",2013,"G"
"07950",2013,"G"
"08000",2013,"G"
"08100",2013,"I"
"08200",2013,"G"
"08300",2013,"G"
"08600",2013,"G"
"08700",2013,"G"
"08800",2013,"G"
"08900",2013,"G"
"09000",2013,"G"
"09020",2013,"G"
"09100",2013,"G"
"09200",2013,"G"
"09300",2013,"G"
"09400",2013,"G"
"09500",2013,"G"
"09600",2013,"G"
"09700",2013,"I"
"09750",2013,"G"
"09800",2013,"I"
"09850",2013,"G"
"09900",2013,"I"
"10000",2013,"G"
"10100",2013,"G"
"10150",2013,"G"
"10200",2013,"G"
"10300",2013,"G"
"10310",2013,"G"
"10325",2013,"G"
"10350",2013,"G"
"10400",2013,"G"
"10500",2013,"G"
"10600",2013,"G"
"10650",2013,"G"
"10750",2013,"G"
"10800",2013,"I"
"10830",2013,"G"
"10850",2013,"G"
"10900",2013,"G"
"11000",2013,"G"
"11100",2013,"G"
"11250",2013,"G"
"11300",2013,"G"
"11350",2013,"G"
"11500",2013,"G"
"11550",2013,"I"
"11600",2013,"G"
"11650",2013,"I"
"11700",2013,"G"
"11750",2013,"G"
"11760",2013,"G"
"11770",2013,"G"
"11780",2013,"G"
"11800",2013,"G"
"11830",2013,"I"
"11850",2013,"G"
"11900",2013,"G"
"11902",2013,"G"
"11904",2013,"I"
"11910",2013,"I"
"11920",2013,"I"
"11930",2013,"I"
"11940",2013,"I"
"11945",2013,"I"
"11950",2013,"G"
"11975",2013,"G"
"12000",2013,"G"
"12100",2013,"G"
"12120",2013,"G"
"12150",2013,"G"
"12200",2013,"G"
"12300",2013,"G"
"12350",2013,"G"
"12400",2013,"G"
"12450",2013,"G"
"12500",2013,"G"
"12600",2013,"G"
"12630",2013,"I"
"12660",2013,"G"
"12700",2013,"G"
"12750",2013,"G"
"12800",2013,"I"
"12850",2013,"G"
