WIMS_SP_REF,BW_REF,From Date,To Date,First Season,Final Season
NE-41000219,03600,01/05/1988,,1988,
NE-42100093,03700,01/05/1988,,1988,
NE-42100094,03800,01/05/1988,,1988,
NE-42100095,03900,01/05/1988,,1988,
NE-42100092,04000,01/05/1988,,1988,
NE-42300050,04200,01/05/1988,,1988,
NE-42400066,04250,01/05/1991,,1991,
NE-42400196,04280,01/05/2008,,2008,
NE-42400197,04300,01/05/1988,,1988,
NE-42400052,04400,01/05/1988,,1988,
NE-42400053,04500,01/05/1988,,1988,
NE-42600260,04600,01/05/1988,,1988,
NE-42600261,04700,01/05/1988,,1988,
NE-43500689,04800,01/05/1988,,1988,
NE-43500297,04900,01/05/1988,,1988,
NE-43500298,05000,01/05/1988,,1988,
NE-43500299,05100,01/05/1988,,1988,
NE-43500300,05200,01/05/1988,,1988,
NE-43500316,05300,01/05/1988,,1988,
NE-43500315,05400,01/05/1988,,1988,
NE-43500314,05500,01/05/1988,,1988,
NE-43500313,05600,01/05/1988,,1988,
NE-45500112,05700,01/05/1988,,1988,
NE-45500111,05800,01/05/1988,,1988,
NE-45500109,05900,01/05/1988,,1988,
NE-45400490,06000,01/05/1988,,1988,
NE-45400489,06100,01/05/1988,,1988,
NE-45400488,06200,01/05/1988,,1988,
NE-45600064,06300,01/05/1988,,1988,
NE-45600063,06400,01/05/1988,,1988,
NE-45600062,06500,01/05/1988,,1988,
NE-45600061,06600,01/05/1988,,1988,
NE-45600058,06650,01/05/1992,,1992,
NE-45600059,06700,01/05/1988,,1988,
NE-49000261,06800,01/05/1988,30/09/2016,1988,2016
NE-49000237,06900,01/05/1988,,1988,
NE-49000240,07000,01/05/1988,,1988,
NE-49000275,07100,01/05/1988,,1988,
NE-49000232,07200,01/05/1988,,1988,
NE-49000252,07300,01/05/1988,,1988,
NE-49000253,07400,01/05/1988,,1988,
NE-49000064,07500,01/05/1988,,1988,
NE-49000125,07600,01/05/1988,,1988,
NE-49000230,07700,01/05/1988,,1988,
NE-49000144,07900,01/05/1988,,1988,
NE-49000087,07950,01/05/1999,,1999,
NE-49000030,08000,01/05/1988,,1988,
NE-49000037,08100,01/05/1988,,1988,
NE-49000277,08200,01/05/1988,,1988,
NE-49000148,08300,01/05/1988,,1988,
NE-49000024,08500,01/05/1988,30/09/2010,1988,2010
NE-49000392,08600,01/05/1988,,1988,
NE-49000176,08700,01/05/1988,,1988,
NE-49000264,08800,01/05/1988,,1988,
NE-49000278,08900,01/05/1988,,1988,
AN-CLEEN001,09000,01/05/1988,,1988,
AN-HUMBN003,09020,01/05/2011,,2011,
AN-MABLN001,09100,01/05/1988,,1988,
AN-SUTTN001,09200,01/05/1988,,1988,
AN-HUTTN001,09300,01/05/1988,,1988,
AN-ANDBN001,09400,01/05/1988,,1988,
AN-CSLEN001,09500,01/05/1988,,1988,
AN-INGSN001,09600,01/05/1988,,1988,
AN-SKEGN001,09700,01/05/1988,,1988,
MD-36739550,09750,01/05/2013,,2013,
AN-66M11,09800,01/05/1988,,1988,
AN-66M23,09850,01/05/1996,,1996,
AN-66M07,09900,01/05/1988,,1988,
AN-WL914456,10000,01/05/1988,,1988,
AN-SH162436,10100,01/05/1988,30/09/2010,1988,2010
AN-SH155436,10100,01/05/2011,,2011,
AN-WR186432,10125,01/05/2016,,2016,
AN-ER202427,10150,01/05/2010,,2010,
AN-CR219425,10200,01/05/1988,,1988,
AN-MU317366,10300,01/05/1988,,1988,
AN-SP430275,10310,01/05/2002,,2002,
AN-GY509174,10325,01/05/1991,,1991,
AN-GY530120,10350,01/05/1991,,1991,
AN-GY535105,10400,01/05/1988,,1988,
AN-GY533074,10500,01/05/1988,,1988,
AN-GY533064,10600,01/05/1988,,1988,
AN-GY532031,10650,01/05/1991,,1991,
AN-LO546923,10750,01/05/1998,,1998,
AN-LO543910,10800,01/05/1988,,1988,
AN-SO513767,10830,01/05/2000,,2000,
AN-SO508754,10850,01/05/1990,,1990,
AN-FE305343,10900,01/05/1988,,1988,
AN-FE297337,11000,01/05/1988,,1988,
AN-HW0010,11100,01/05/1988,,1988,
AN-CW2200,11250,01/05/1988,,1988,
AN-CW1850,11300,01/05/1988,,1988,
AN-CW1765,11350,01/05/1988,,1988,
AN-CW1520,11500,01/05/1988,,1988,
AN-CW1430,11550,01/05/1995,,1995,
AN-CW1280,11600,01/05/1988,,1988,
AN-CW616213,11650,01/05/2005,,2005,
AN-NE0450,11700,01/05/1988,,1988,
AN-BE0235,11750,01/05/1991,,1991,
TH-PGWL0118,11760,01/05/1998,,1998,
TH-PTTB0008,11770,01/05/1989,,1989,
TH-PTTB0001,11780,01/05/2001,,2001,
TH-PTTB0002,11800,01/05/1988,,1988,
TH-PTTB0025,11830,01/05/2003,,2003,
TH-PTTB0012,11850,01/05/2001,,2001,
TH-PTTB0004,11900,01/05/1988,,1988,
TH-PTTB0023,11902,01/05/2003,,2003,
TH-PTTB0005,11904,01/05/2003,,2003,
TH-PGWB0001,11910,01/05/1998,,1998,
TH-PGWB0002,11920,01/05/1998,,1998,
TH-PGWB0003,11930,01/05/1998,,1998,
TH-PGWB0004,11940,01/05/1998,,1998,
TH-PGWL0034,11945,01/05/1998,,1998,
SO-E0000007,11950,01/05/1991,,1991,
SO-E0004879,11975,01/05/2010,,2010,
SO-E0000011,12000,01/05/1988,,1988,
SO-E0000015,12100,01/05/1988,,1988,
SO-E0004744,12120,01/05/2007,,2007,
SO-E0017452,12150,01/05/1999,,1999,
SO-E0000021,12200,01/05/1988,,1988,
SO-E0000024,12300,01/05/1988,,1988,
SO-E0000025,12350,01/05/1997,,1997,
SO-E0000026,12400,01/05/1988,,1988,
SO-E0000028,12450,01/05/1997,,1997,
SO-E0000029,12500,01/05/1988,,1988,
SO-E0000030,12600,01/05/1988,,1988,
SO-E0000031,12630,01/05/1997,,1997,
SO-E0000037,12660,01/05/1997,,1997,
SO-E0000038,12700,01/05/1988,,1988,
SO-E0000042,12750,01/05/1997,,1997,
SO-E0000051,12800,01/05/1988,,1988,
SO-E0000053,12850,01/05/1997,,1997,
SO-E0000057,12900,01/05/1988,,1988,
SO-E0000059,13000,01/05/1988,,1988,
SO-E0000063,13100,01/05/1988,,1988,
SO-E0000071,13200,01/05/1988,,1988,
SO-E0000086,13300,01/05/1988,,1988,
SO-E0000092,13400,01/05/1988,,1988,
SO-E0000093,13500,01/05/1988,,1988,
SO-E0004745,13600,01/05/1988,,1988,
SO-E0000101,13700,01/05/1988,,1988,
SO-E0000102,13800,01/05/1988,,1988,
SO-E0000109,13900,01/05/1988,,1988,
SO-E0000111,14000,01/05/1988,,1988,
SO-F0001808,14100,01/05/1988,30/09/2014,1988,2014
SO-F0017484,14100,01/05/2015,,2015,
SO-F0001813,14150,01/05/1996,,1996,
SO-E0004787,14200,01/05/1988,,1988,
SO-F0001822,14300,01/05/1988,,1988,
SO-F0001828,14400,01/05/1988,,1988,
SO-F0001837,14500,01/05/1988,,1988,
SO-F0001843,14550,01/05/1998,,1998,
SO-F0001854,14600,01/05/1988,,1988,
SO-F0001859,14700,01/05/1988,30/09/2016,1988,2016
SO-F0001870,14800,01/05/1988,,1988,
SO-F0001874,14900,01/05/1988,,1988,
SO-F0002801,14950,01/05/2007,,2007,
SO-F0002786,15000,01/05/1988,,1988,
SO-F0001885,15100,01/05/1988,,1988,
SO-F0017474,15200,01/05/2014,,2014,
SO-F0001892,15300,01/05/1988,,1988,
SO-F0001903,15400,01/05/1988,,1988,
SO-F0017446,15500,01/05/1988,,1988,
SO-F0001919,15600,01/05/1988,,1988,
SO-F0001920,15650,01/05/1996,,1996,
SO-F0017448,15680,01/05/1999,,1999,
SO-F0001925,15700,01/05/1988,,1988,
SO-F0001927,15800,01/05/1988,,1988,
SO-F0001928,15900,01/05/1988,,1988,
SO-F0001934,16000,01/05/1988,,1988,
SO-F0001936,16100,01/05/1988,,1988,
SO-G0003460,16300,01/05/1988,,1988,
SO-G0017367,16350,01/05/1998,,1998,
SO-G0003461,16400,01/05/1988,,1988,
SO-G0003490,16500,01/05/1988,,1988,
SO-G0003491,16600,01/05/1988,30/09/2013,1988,2013
SO-G0017029,16600,01/05/2014,,2014,
SO-G0003516,16700,01/05/1988,,1988,
SO-G0003530,16800,01/05/1988,,1988,
SO-G0003531,16850,01/05/1990,,1990,
SO-G0003588,16900,01/05/1988,,1988,
