"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"09750","2014","22/09/2014","15:03","<",10,,73,"G","No","27/09/2014","New",
"12120","2014","22/09/2014","15:30","<",10,"<",10,"G","No","29/09/2014","New",
"12200","2014","22/09/2014","15:07","<",10,,45,"G","No","29/09/2014","New",
"12300","2014","22/09/2014","14:40","<",10,,45,"G","No","29/09/2014","New",
"12450","2014","22/09/2014","11:10",,18,,91,"G","No","29/09/2014","New",
"12500","2014","22/09/2014","11:17","<",10,,18,"G","No","29/09/2014","New",
"12600","2014","22/09/2014","11:30",,64,"<",10,"G","No","29/09/2014","New",
"12630","2014","22/09/2014","11:48",,333,,82,"I","No","29/09/2014","New",
"12750","2014","22/09/2014","12:27","<",10,,91,"G","No","29/09/2014","New",
"12800","2014","22/09/2014","12:37",,270,,530,"I","No","29/09/2014","New",
"12850","2014","22/09/2014","12:55",,18,,18,"G","No","29/09/2014","New",
"12900","2014","22/09/2014","13:24","<",10,"<",10,"G","No","29/09/2014","New",
"13200","2014","22/09/2014","14:58",,36,,91,"G","No","29/09/2014","New",
"14100","2014","22/09/2014","12:04",,82,,182,"I","No","29/09/2014","New",
"14150","2014","22/09/2014","12:42","<",10,,36,"G","No","29/09/2014","New",
"14200","2014","22/09/2014","13:21","<",10,,27,"G","No","29/09/2014","New",
"14300","2014","22/09/2014","14:58","<",10,"<",10,"G","No","29/09/2014","New",
"14400","2014","22/09/2014","15:15","<",10,"<",10,"G","No","29/09/2014","New",
"14500","2014","22/09/2014","15:39",,18,,73,"G","No","29/09/2014","New",
"14550","2014","22/09/2014","16:10","<",10,,18,"G","No","29/09/2014","New",
"14600","2014","22/09/2014","16:35","<",10,"<",10,"G","No","29/09/2014","New",
"17900","2014","22/09/2014","11:00","<",10,,27,"G","No","29/09/2014","New",
"18000","2014","22/09/2014","11:17","<",10,,620,"I","No","29/09/2014","New",
"18100","2014","22/09/2014","11:30",,510,,164,"I","No","29/09/2014","New",
"18200","2014","22/09/2014","12:03",,27,,64,"G","No","29/09/2014","New",
"18300","2014","22/09/2014","12:35",,36,,136,"I","No","29/09/2014","New",
"18350","2014","22/09/2014","13:32","<",10,"<",10,"G","No","29/09/2014","New",
