"SamplingPoint","LA","BW_Description","C_Description","Pollution_Man_SL","Stream_Rivers","EA_Investigations","History","STW_outfall_SL","STW_outfall","Emerg_Storm_SL","Emerg_Storm","Working_LA_SL","Working_LA","Misconnections","Working_farm","Working_Ind","Working_PO","Algae_SL","Macroalgae","Phytoplankton","County","Profile_Year","EUBWID"
"03600","Northumberland","Spittal Beach is a gently sloping resort beach approximately one kilometre long situated immediately south of the mouth of the River Tweed.","The River Tweed rises over 100km to the west and drains a catchment of approx 4000 sq km. The lower part of the catchment which influences bathing water quality is predominantly devoted to arable and livestock farming. The historic town of Berwick-upon-Tweed and its satellites, Spittal and Tweedmouth, lie at the mouth of the estuary.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.","The Tweed Estuary discharges to the sea at the north end of the bathing water. Diffuse run off from agricultural land and upstream settlements affects the bacteriological quality of the river. After heavy rain, this can have a short-term impact on bathing water quality.  High river flows also shorten residence times in the estuary, exacerbating the impact of discharges from the sewerage system in and around Berwick.","The Environment Agency's investigations have been aimed at identifying non water company sources of pollution that may be affecting the bathing water so that we can implement measures to address them.  We believe that agricultural sources in the Tweed catchment may be significant, particularly in wet weather, although we have not found evidence pointing to any particularly important source.","Since 1995, the Environment Agency have worked closely with Northumbrian Water to identify and deliver significant investment in the sewage infrastructure around this bathing water.  Most recently, an investigation by Northumbrian water into the effects of their systems on bating water quality has led to improvements at 2 CSOs.","Discharges from sewage treatment works have improved substantially in England since the 1980s.","Sewage from Berwick, Spittal and Tweedmouth is treated at a sewage works that discharges to the Tweed estuary to the west of the town.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","A combined sewer overflow (CSO) which could discharge onto the beach during heavy rainfall was removed in early 2012.  Other CSOs discharge to the estuary and contribute to pollution at the bathing water when river flows are high during wet weather.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.","The catchment of the River Tweed is largely agricultural with a mixture of arable and livestock farming. During and after periods of heavy rainfall, runoff from agricultural areas will be greatly increased. The quality of the bathing water may be adversely affected as a result of such events.  The limited data collected on sources of bacteria suggests that livestock are a significant source, particularly when river flows are high, and we are aiming to raise awareness of this in the farming community.",,,"Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2102      03600"
"03700","Northumberland","Bamburgh Castle Beach is a long remote, sandy beach situated on the north Northumberland coast. The beach is 2.5 kilometres long and slopes gently, resulting in a long distance to the sea at low tide. The Mill Burn crosses the beach to the north of the Environment Agency’s designated sampling point.","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 5.2 square kilometres. The catchment slopes gently throughout.
The majority of the land in the catchment is agricultural with some mixed livestock and arable. The area immediately surrounding Bamburgh mainly consists of farm land with small developments and caravan parks.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,"The Environment Agency have worked closely with Northumbrian Water to identify and deliver significant investment in the sewage infrastructure around this bathing water.","Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment outfalls within the bathing beach. Since 2006, sewage from the Bamburgh area has been pumped to Seahouses Sewage Treatment Works for treatment.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","There are no outfalls discharging directly onto the bathing beach. Within the catchment of Bamburgh bathing water there are two storm and one emergency outfalls that discharge to the Mill Burn. These protect domestic properties and the pumping station in Bamburgh from being flooded by sewage during heavy rainfall.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of caravan parks and isolated dwellings which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2102      03700"
"03800","Northumberland","Seahouses North Beach is a long remote beach situated on the north Northumberland coast. Measuring nearly two kilometres in length, the sandy beach slopes gently, resulting in a long distance to the sea at low tide.","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 6.4 square kilometres. The catchment slopes gently throughout.
The majority of the land in the catchment is agricultural (mixed livestock and arable) with small developments and caravan parks. The southern end of the catchment has some urban development around North Sunderland.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,"Since 1998, the Environment Agency have worked closely with Northumbrian Water to identify and deliver significant investment in the sewage infrastructure around this bathing water. Sewage from Seahouses, Beadnell and Bamburgh is treated at a sewage works on the other side of Seahouses village.","Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment outfalls within the bathing beach. Seahouses Sewage Treatment Works discharge is over one kilometre to the south of the bathing beach.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.",,"Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of isolated dwellings which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2102      03800"
"03900","Northumberland","Beadnell Beach is a remote bathing water on the north Northumberland coast. Measuring three kilometres in length with the Environment Agency sampling point to the north end of the bay, close to the village of Beadnell. The gently sloping sandy beach can result in a long distance to the sea at low tide. A stream called the Long Nanny crosses the bay to the south of the Environment Agency's designated sampling point.","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 64.5 square kilometres. The catchment is relatively flat and comprises mainly of mixed farming. There are a number of small communities within the catchment the majority of which have private sewage treatment arrangements.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.","The Long Nanny runs across the beach at this bathing water.",,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment outfalls within the bathing beach. Sewage from the Beadnell area is pumped to Seahouses Sewage Treatment Works for treatment.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","There are no outfalls discharging directly onto the bathing beach. However, within the Beadnell catchment there are storm, emergency and surface water outfalls that discharge to the rivers and ditches. After periods of rainfall these discharges may have an adverse affect on bathing water quality.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of isolated dwellings which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2102      03900"
"04000","Northumberland","Low Newton Beach is a remote bathing water on the north Northumberland coast. The gently sloping sandy beach is 0.5 kilometres long with the Environment Agency sampling point to the northern end of the bay.","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 22 square kilometres. The catchment is relatively flat and comprises mainly of mixed farming. There are a number of small communities within the catchment the majority of which have private sewage treatment arrangements.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment outfalls within the bathing beach. Sewage from Low Newton and High Newton area is pumped to Embleton for treatment.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.",,"Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,,"Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2101      04000"
"04200","Northumberland","Warkworth Beach is a remote beach situated on the north east coast of Northumberland. The designated area of the long, gently sloping sandy beach is one kilometre long.","The natural drainage (hydrological) catchment surrounding the bathing water is mainly that of the River Coquet and measures approximately 610 square kilometres. The catchment is steep in its upper reaches becoming progressively flatter to the east. The majority of the catchment is used for mixed farming. There are a number of small to medium sized communities within the catchment. The majority of the small ones have private sewage treatment arrangements, with only the larger ones having a public sewerage network and treatment works.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.",,"The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.",,"Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of isolated dwellings within the catchment which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2101      04200"
"04250","Northumberland","Amble links Beach is a remote bathing water on the Northumberland coast. The gently sloping sandy beach is one kilometre long.","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 59 square kilometres and relatively flat. Land use is mainly mixed farming with a number of small to medium sized communities within it. A large proportion of the catchment has been opencast mined which has changed the natural flow of watercourses across it.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.","Sewage from Amble and Warkworth is treated and discharged to the North Sea some distance to the north of the bathing water, which it does not affect.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","There are no outfalls discharging directly onto the bathing beach. However, within Amble and Warkworth there are several storm, emergency and surface water outfalls that discharge to the rivers and ditches. After periods of rainfall these discharges could have a small adverse affect on bathing water quality.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of isolated dwellings within the catchment which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2101      04250"
"04280","Northumberland","Duridge Bay North Beach is a remote bathing water on the north east coast of Northumberland. The designated bathing water is one kilometre long in the northern half of the nine kilometres long bay. The dune backed, gently sloping sandy beach can result in a long distance to the sea at low tide","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 59 square kilometres and relatively flat. Land use is mainly mixed farming with a number of small to medium sized communities within it. A large proportion of the catchment has been opencast mined which has changed the natural flow of watercourses across it.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment outfalls within the bathing beach.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","There are no outfalls discharging directly into the bathing water although one lies just to the south. However, within the catchment there are a number of storm, emergency and surface water outfalls that discharge to streams and ditches. After periods of rainfall these discharges could have a small adverse affect on bathing water quality.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,"There are a number of isolated dwellings within the catchment which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency does not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2104      04280"
"04300","Northumberland","Duridge Bay South Beach is a remote bathing water on the north east coast of Northumberland. The designated bathing water is one kilometre long at the southern end of the nine kilometre long bay. The dune backed, gently sloping sandy beach can result in a long distance to the sea at low tide","The natural drainage (hydrological) catchment surrounding the bathing water is approximately 59 square kilometres and relatively flat. Land use is mainly mixed farming with a number of small to medium sized communities within it. A large proportion of the catchment has been opencast mined which has changed the natural flow of water across it.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,,,"Discharges from sewage treatment works have improved substantially in England since the 1980s.",,"The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.",,"Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.",,"Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.","The catchment of Duridge Bay South Beach is largely agricultural with a mixture of arable and livestock farming. 
During and after periods of heavy rainfall, runoff from agricultural areas will be greatly increased. The quality of the bathing water may be adversely affected as a result of such events.",,"There are a number of isolated dwellings within the catchment which are not on the main sewerage system and have private sewage treatment arrangements. The Environment Agency do not believe these are a source of pollution to the bathing water at present. If any concerns arise, the Environment Agency will investigate and request immediate remedial action from those responsible.","Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2104      04300"
"04400","Northumberland","Newbiggin North Beach is a gently sloping sandy resort beach at the northern end of Newbiggin Bay. It is approx 500 metres in length and is backed by a promenade which runs around the whole length of the bay.","The catchment directly behind the bathing water is urban with no natural surface waters discharging on to the beach.","It is the Environment Agency role to drive improvement of water quality at bathing waters that are at risk of failing European standards. It is natural for water to run off the land to the sea. Water quality at a bathing water is dependent upon the type and area of land (the catchment) draining to the water and the activities undertaken in that catchment.",,"After several years of acceptable bathing water quality, a deterioration prompted the Environment Agency to ask Northumbrian Water to investigate the probable cause. The investigation highlighted the cause as the combined sewer overflow (CSO) at the inlet to the sewage treatment works (STW). 
A scheme to solve this problem was drawn up however in the meantime the coastal defence was installed. This structure has changed flow patterns and has deflected the discharge from the bay and improved water quality. The Environment Agency will continue to monitor the situation but it appears that no further intervention is required.","During 1992/1993 a long sea outfall, designed to ensure bathing water compliance, was installed to discharge sewage approximately 1.3 kilometres offshore. Flows from the short sea outfalls at Church Point and Summerhouse Lane were diverted to this. In 2000 to comply with the Urban Waste Water Treatment Directive a new sewage treatment works was built providing further treatment to the discharge.","Discharges from sewage treatment works have improved substantially in England since the 1980s.","There are no sewage treatment works outfalls directly on to the bathing area, sewage from the Newbiggin and Ashington areas is treated at Newbiggin Sewage Treatment Works which has a long sea outfall designed not to impact on the bathing beach.","The majority of sewers in England are “combined sewers” and carry both sewage and surface water from roofs and drains. A storm overflow operates during heavy rainfall when the sewerage system becomes overwhelmed by the amount of surface water. The overflow prevents sewage from backing up pipes and flooding properties and gardens. An emergency overflow will only operate infrequently, for example due to pump failure or blockage in the sewerage system.","Newbiggin SSO (a combined sewer overflow) can discharge onto the beach in extreme wet weather, however investigations have shown it to spill less than once per year. 
Attlee Terrace sewage pumping station has an emergency overflow which can discharge to the beach. This would only operate when the pumping station is inoperative due to pump failure, power failure or failure of the rising main.","Heavy rain falling on pavements and roads often flows into surface water drains or highway drains, ending up in local rivers and ultimately the sea. The quality of bathing water may be adversely affected as a result of such events.","During the 2007 bathing season a coastal defence structure was created to protect the bay. This has led to a subsequent but unplanned improvement in bathing water quality.","Modern sewerage systems have two separate systems, one takes foul sewage to sewage treatment, the other takes rainwater runoff through surface water drains to rivers, lakes and the sea. Misconnections occur when waste water pipes are plumbed into surface water drains instead of the foul water sewerage system. This can give rise to pollution when the waste water is discharged directly to the environment through the surface water drain. For example, a washing machine or toilet may be incorrectly plumbed so that it discharges to the surface drain rather than the foul sewage drain.",,,,"Seaweed (macroalgae) and phytoplankton (microscopic algae) are a natural part of the marine and freshwater environment. Below we note whether these have been recorded in quantities sufficient to be a nuisance.","Environment Agency research suggests this bathing water does not have a history of large amounts of seaweed (macroalgae).","Environment Agency research suggests this bathing water does not have a history of phytoplankton blooms.","Northumberland","2014","UKC2106      04400"
