 Site,Datetime        ,Prediction,Prediction_text_en,Prediction_text_cy
03600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
04400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
04600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
04700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
04900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
05700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
05800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
05900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
06900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
07200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
07400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
07900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
08000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
08100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
08200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
08300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11250,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11830,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11850,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11902,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11904,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
11975,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12120,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12150,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
12850,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
13300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
13800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
13900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
14100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
14150,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
14200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
14400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
15300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
15400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
15650,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
15700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
